rheaid	reactionEquation	L	R
RHEA:37407	(9Z)-octadecenoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine = 1,2-di-(9Z)-octadecenoyl-sn-glycero-3-phospho-L-serine + CoA	CHEBI:74617, CHEBI:57387	CHEBI:74905, CHEBI:57287
RHEA:37411	aklavinone + NADP(+) = aklaviketone + 2 H(+) + NADPH	CHEBI:31181, CHEBI:58349	CHEBI:77994, CHEBI:15378, CHEBI:57783
RHEA:37415	1-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine + hexadecanoyl-CoA = 1-(9Z)-octadecenoyl-2-hexadecanoyl-sn-glycero-3-phosphoserine + CoA	CHEBI:74617, CHEBI:57379	CHEBI:74909, CHEBI:57287
RHEA:37419	(9Z)-hexadecenoyl-CoA + 1-hexadecanoyl-sn-glycero-3-phosphoethanolamine = 1-hexadecanoyl-2-(9Z)-hexadecenoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:61540, CHEBI:73004	CHEBI:73999, CHEBI:57287
RHEA:37423	aclacinomycin N + O2 = aclacinomycin A + H2O2	CHEBI:77991, CHEBI:15379	CHEBI:77980, CHEBI:16240
RHEA:37427	(9Z)-octadecenoyl-CoA + a 1-acyl-sn-glycero-3-phosphate = a 1-acyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphate + CoA	CHEBI:57387, CHEBI:57970	CHEBI:74917, CHEBI:57287
RHEA:37431	12,18-didecarboxysiroheme + 2 AH2 + 2 S-adenosyl-L-methionine = 2 5'-deoxyadenosine + 2 A + 2 acetate + Fe-coproporphyrin III + 2 H(+) + 2 L-methionine	CHEBI:140497, CHEBI:17499, CHEBI:59789	CHEBI:68438, CHEBI:57844, CHEBI:15378, CHEBI:13193, CHEBI:30089, CHEBI:17319
RHEA:37435	(9Z,12Z)-octadecadienoyl-CoA + a 1-acyl-sn-glycero-3-phosphate = a 1-acyl-2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phosphate + CoA	CHEBI:57383, CHEBI:57970	CHEBI:74920, CHEBI:57287
RHEA:37439	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + a 1-acyl-sn-glycero-3-phosphate = a 1-acyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphate + CoA	CHEBI:57368, CHEBI:57970	CHEBI:74922, CHEBI:57287
RHEA:37443	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phosphate = 1-(9Z)-octadecenoyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphate + CoA	CHEBI:74544, CHEBI:57368	CHEBI:74928, CHEBI:57287
RHEA:37447	O2 + tetracenomycin F1 = H(+) + H2O + tetracenomycin D3	CHEBI:74931, CHEBI:15379	CHEBI:77990, CHEBI:15377, CHEBI:15378
RHEA:37451	1-(9Z-octadecenoyl)-sn-glycero-3-phosphate + eicosanoyl-CoA = 1-(9Z)-octadecenoyl-2-eicosanoyl-sn-glycero-3-phosphate + CoA	CHEBI:74544, CHEBI:57380	CHEBI:74937, CHEBI:57287
RHEA:37455	(9Z)-octadecenoyl-CoA + 1-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphate = 1-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-2-(9Z)-octadecenoyl-sn-glycero-3-phosphate + CoA	CHEBI:74938, CHEBI:57387	CHEBI:74941, CHEBI:57287
RHEA:37459	1D-myo-inositol hexakisphosphate + ATP = 1-diphospho-myo-inositol 2,3,4,5,6-pentakisphosphate + ADP	CHEBI:58130, CHEBI:30616	CHEBI:74946, CHEBI:456216
RHEA:37463	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + sn-glycerol 3-phosphate = 1-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphate + CoA	CHEBI:57597, CHEBI:57368	CHEBI:74938, CHEBI:57287
RHEA:37467	1-diphospho-myo-inositol 2,3,4,5,6-pentakisphosphate + ATP + H(+) = 1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate + ADP	CHEBI:74946, CHEBI:15378, CHEBI:30616	CHEBI:456216, CHEBI:77983
RHEA:37471	3-methylbutanoyl-CoA + S-adenosyl-L-methionine = CoA + H(+) + N-isovaleryl-L-homoserine lactone + S-methyl-5'-thioadenosine	CHEBI:57345, CHEBI:59789	CHEBI:57287, CHEBI:15378, CHEBI:74958, CHEBI:17509
RHEA:37475	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + 1-hexadecanoyl-sn-glycero-3-phosphocholine = 1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine + CoA	CHEBI:72998, CHEBI:74298	CHEBI:74963, CHEBI:57287
RHEA:37479	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-octadecanoyl-sn-glycero-3-phosphocholine = 1-octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine + CoA	CHEBI:73858, CHEBI:57368	CHEBI:74965, CHEBI:57287
RHEA:37483	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-dodecanoyl-sn-glycero-3-phosphocholine = 1-dodecanoyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:74966, CHEBI:57368	CHEBI:74967, CHEBI:57287
RHEA:37487	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-eicosanoyl-sn-glycero-3-phosphocholine = 1-eicosanoyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:74968, CHEBI:57368	CHEBI:74970, CHEBI:57287
RHEA:37491	4-coumaroyl-CoA + S-adenosyl-L-methionine = CoA + H(+) + N-(4-coumaroyl)-L-homoserine lactone + S-methyl-5'-thioadenosine	CHEBI:57355, CHEBI:59789	CHEBI:74974, CHEBI:57287, CHEBI:15378, CHEBI:17509
RHEA:37495	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine = 1-(9Z)-octadecenoyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:74971, CHEBI:57368	CHEBI:74975, CHEBI:57287
RHEA:37499	(9Z)-octadecenoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine = 1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:74971, CHEBI:57387	CHEBI:74986, CHEBI:57287
RHEA:37503	(9Z,12Z)-octadecadienoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine = 1-(9Z)-octadecenoyl-2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:57383, CHEBI:74971	CHEBI:74977, CHEBI:57287
RHEA:37507	D-arginine + FAD + H(+) + H2O = 5-guanidino-2-oxopentanoate + FADH2 + NH4(+)	CHEBI:15377, CHEBI:32689, CHEBI:57692, CHEBI:15378	CHEBI:28938, CHEBI:58307, CHEBI:58489
RHEA:37511	1-dodecanoyl-sn-glycero-3-phosphocholine + hexadecanoyl-CoA = 1-dodecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:74966, CHEBI:57379	CHEBI:75017, CHEBI:57287
RHEA:37515	1-hexadecanoyl-sn-glycero-3-phosphocholine + dodecanoyl-CoA = 1-hexadecanoyl-2-dodecanoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:72998, CHEBI:57375	CHEBI:75018, CHEBI:57287
RHEA:37519	(9Z)-octadecenoyl-CoA + 1-octadecanoyl-sn-glycero-3-phosphocholine = 1-octadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine + CoA	CHEBI:73858, CHEBI:57387	CHEBI:75034, CHEBI:57287
RHEA:37523	(9Z)-octadecenoyl-CoA + 1-octadecanoyl-sn-glycero-3-phosphoethanolamine = 1-octadecanoyl-2-(9Z)-octadecenoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:75036, CHEBI:57387	CHEBI:75038, CHEBI:57287
RHEA:37527	1-octadecanoyl-sn-glycero-3-phosphocholine + hexadecanoyl-CoA = 1-octadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:73858, CHEBI:57379	CHEBI:75026, CHEBI:57287
RHEA:37531	(9Z)-octadecenoyl-CoA + 1-hexadecanoyl-sn-glycero-3-phospho-L-serine = 1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine + CoA	CHEBI:75020, CHEBI:57387	CHEBI:75029, CHEBI:57287
RHEA:37535	(9Z,12Z)-octadecadienoyl-CoA + 1-hexadecanoyl-sn-glycero-3-phospho-L-serine = 1-hexadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho-L-serine + CoA	CHEBI:57383, CHEBI:75020	CHEBI:75031, CHEBI:57287
RHEA:37539	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-hexadecanoyl-sn-glycero-3-phospho-L-serine = 1-hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phospho-L-serine + CoA	CHEBI:75020, CHEBI:57368	CHEBI:75032, CHEBI:57287
RHEA:37543	2-amino-5-chlorophenol + O2 = 2-amino-5-chloromuconate 6-semialdehyde	CHEBI:75051, CHEBI:15379	CHEBI:75057
RHEA:37547	D-glucose 6-phosphate + NAD(+) = 3-dehydro-D-glucose 6-phosphate + H(+) + NADH	CHEBI:57540, CHEBI:61548	CHEBI:75052, CHEBI:57945, CHEBI:15378
RHEA:37551	3-dehydro-D-glucose 6-phosphate + L-glutamate = 2-oxoglutarate + D-kanosamine 6-phosphate	CHEBI:75052, CHEBI:29985	CHEBI:72748, CHEBI:16810
RHEA:37555	D-kanosamine 6-phosphate + H2O = kanosamine + phosphate	CHEBI:72748, CHEBI:15377	CHEBI:72732, CHEBI:43474
RHEA:37559	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + a 1-acyl-sn-glycero-3-phosphocholine = 1-acyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine + CoA	CHEBI:58168, CHEBI:57368	CHEBI:75063, CHEBI:57287
RHEA:37563	(9Z,12Z)-octadecadienoyl-CoA + a 1-acyl-sn-glycero-3-phosphocholine = 1-acyl-2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:57383, CHEBI:58168	CHEBI:57287, CHEBI:60000
RHEA:37567	(9Z,12Z)-octadecadienoyl-CoA + a 1-acyl-sn-glycero-3-phospho-L-serine = 1-acyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho-L-serine + CoA	CHEBI:57383, CHEBI:64379	CHEBI:75066, CHEBI:57287
RHEA:37571	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + a 1-acyl-sn-glycero-3-phospho-L-serine = 1-acyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phospho-L-serine + CoA	CHEBI:64379, CHEBI:57368	CHEBI:75065, CHEBI:57287
RHEA:37575	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + a 1-acyl-sn-glycero-3-phosphoethanolamine = 1-acyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:64381, CHEBI:57368	CHEBI:75067, CHEBI:57287
RHEA:37579	(9Z,12Z)-octadecadienoyl-CoA + a 1-acyl-sn-glycero-3-phosphoethanolamine = 1-acyl-2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:57383, CHEBI:64381	CHEBI:75069, CHEBI:57287
RHEA:37583	D-lysine + H2O + O2 = 6-amino-2-oxohexanoate + H2O2 + NH4(+)	CHEBI:15379, CHEBI:15377, CHEBI:32557	CHEBI:28938, CHEBI:16240, CHEBI:58183
RHEA:37587	2-oxoglutarate + D-lysine = 6-amino-2-oxohexanoate + L-glutamate	CHEBI:16810, CHEBI:32557	CHEBI:29985, CHEBI:58183
RHEA:37591	1-(9Z-octadecenoyl)-sn-glycero-3-phosphate + dodecanoyl-CoA = 1-(9Z)-octadecenoyl-2-dodecanoyl-sn-glycero-3-phosphate + CoA	CHEBI:74544, CHEBI:57375	CHEBI:75076, CHEBI:57287
RHEA:37595	1-(9Z-octadecenoyl)-sn-glycero-3-phosphate + nonadecanoyl-CoA = 1-(9Z)-octadecenoyl-2-nonadecanoyl-sn-glycero-3-phosphate + CoA	CHEBI:74544, CHEBI:75105	CHEBI:75104, CHEBI:57287
RHEA:37599	(9Z,12Z)-hexadecadienoyl-CoA + AH2 + O2 = (9Z,12Z,15Z)-hexadecatrienoyl-CoA + A + 2 H2O	CHEBI:76552, CHEBI:15379, CHEBI:17499	CHEBI:85914, CHEBI:15377, CHEBI:13193
RHEA:37603	(11Z)-octadecenoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phosphate = 1-(9Z)-octadecenoyl-2-(11Z)-octadecenoyl-sn-glycero-3-phosphate + CoA	CHEBI:74544, CHEBI:75121	CHEBI:75122, CHEBI:57287
RHEA:37607	(6Z)-octadecenoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phosphate = 1-(9Z)-octadecenoyl-2-(6Z)-octadecenoyl-sn-glycero-3-phosphate + CoA	CHEBI:74544, CHEBI:75123	CHEBI:75124, CHEBI:57287
RHEA:37611	(9Z)-octadecenoyl-CoA + 1'-[1,2-diacyl-sn-glycero-3-phospho],3'-[1-acyl-sn-glycero-3-phospho]-glycerol = 1'-[1,2-diacyl-sn-glycero-3-phospho],3'-[1-acyl,2-(9Z)-octadecenoyl-sn-glycero-3-phospho]-glycerol + CoA	CHEBI:64743, CHEBI:57387	CHEBI:75140, CHEBI:57287
RHEA:37615	(9Z)-octadecenoyl-CoA + 1',3'-bis-[1-acyl-sn-glycero-3-phospho]-glycerol = 1'-[1-acyl-2-(9Z)-octadecenoyl-sn-glycero-3-phospho],3'-[1-acyl,2-hydroxy-sn-glycero-3-phospho]-glycerol + CoA	CHEBI:75137, CHEBI:57387	CHEBI:75139, CHEBI:57287
RHEA:37619	(9Z)-octadecenoyl-CoA + 1-acyl-sn-glycero-3-phospho-(1'-sn-glycerol) = 1-acyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol) + CoA	CHEBI:64840, CHEBI:57387	CHEBI:75173, CHEBI:57287
RHEA:37623	(9Z)-octadecenoyl-CoA + a 1-acyl-sn-glycero-3-phospho-(1D-myo-inositol) = a 1-acyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1D-myo-inositol) + CoA	CHEBI:57387, CHEBI:64771	CHEBI:75116, CHEBI:57287
RHEA:37627	(9Z)-octadecenoyl-CoA + 1-O-(1Z-alkenyl)-sn-glycero-3-phosphocholine = 1-O-(1Z)-alkenyl-2-(9Z)-octadecenoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:77287, CHEBI:57387	CHEBI:77294, CHEBI:57287
RHEA:37631	(9Z)-octadecenoyl-CoA + 1-O-(1Z-alkenyl)-sn-glycero-3-phosphoethanolamine = 1-O-(1Z)-alkenyl-2-(9Z)-octadecenoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:57387, CHEBI:77288	CHEBI:77291, CHEBI:57287
RHEA:37635	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-O-(1Z-alkenyl)-sn-glycero-3-phosphoethanolamine = 1-O-(1Z)-alkenyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:57368, CHEBI:77288	CHEBI:77295, CHEBI:57287
RHEA:37639	1-hexadecanoyl-sn-glycero-3-phospho-(1D-myo-inositol) + dodecanoyl-CoA = 1-hexadecanoyl-2-dodecanoyl-sn-glycero-3-phospho-(1D-myo-inositol) + CoA	CHEBI:72833, CHEBI:57375	CHEBI:75160, CHEBI:57287
RHEA:37643	(9Z)-octadecenoyl-CoA + 1-tetradecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol) = 1-tetradecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol) + CoA	CHEBI:72826, CHEBI:57387	CHEBI:75161, CHEBI:57287
RHEA:37647	(9Z)-octadecenoyl-CoA + 1-octadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol) = 1-octadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol) + CoA	CHEBI:72827, CHEBI:57387	CHEBI:72845, CHEBI:57287
RHEA:37651	(9Z)-octadecenoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol) = 1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol) + CoA	CHEBI:72828, CHEBI:57387	CHEBI:75163, CHEBI:57287
RHEA:37655	1-tetradecanoyl-sn-glycero-3-phosphocholine + hexadecanoyl-CoA = 1-tetradecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:64489, CHEBI:57379	CHEBI:75062, CHEBI:57287
RHEA:37659	anthraniloyl-CoA + methanol = CoA + O-methyl anthranilate	CHEBI:57331, CHEBI:17790	CHEBI:73244, CHEBI:57287
RHEA:37663	3-O-(alpha-D-mannosyl)-L-threonyl-[protein] + UDP-N-acetyl-alpha-D-glucosamine = 3-O-(N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-mannosyl)-L-threonyl-[protein] + H(+) + UDP	GENERIC:13547, CHEBI:57705	GENERIC:13618, CHEBI:58223, CHEBI:15378
RHEA:37667	3-O-(N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-mannosyl)-L-threonyl-[protein] + UDP-N-acetyl-alpha-D-galactosamine = 3-O-(N-acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-mannosyl)-L-threonyl-[protein] + H(+) + UDP	GENERIC:13618, CHEBI:67138	GENERIC:13308, CHEBI:58223, CHEBI:15378
RHEA:37671	3-O-[N-acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-mannosyl]-L-threonyl/L-seryl-[protein] + ATP = 3-O-[N-acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-(6-phospho)mannosyl]-L-threonyl/L-seryl-[protein] + ADP + H(+)	GENERIC:10081, CHEBI:30616	GENERIC:10082, CHEBI:456216, CHEBI:15378
RHEA:37675	(9Z,12Z)-octadecadienoyl-CoA + 1'-[1,2-diacyl-sn-glycero-3-phospho],3'-[1-acyl-sn-glycero-3-phospho]-glycerol = 1'-[1,2-diacyl-sn-glycero-3-phospho],3'-[1-acyl,2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phospho]-glycerol + CoA	CHEBI:57383, CHEBI:64743	CHEBI:75205, CHEBI:57287
RHEA:37679	1'-[1,2-diacyl-sn-glycero-3-phospho],3'-[1-acyl-sn-glycero-3-phospho]-glycerol + dodecanoyl-CoA = 1'-[1,2-diacyl-sn-glycero-3-phospho],3'-[1-acyl,2-dodecanoyl-sn-glycero-3-phospho]-glycerol + CoA	CHEBI:64743, CHEBI:57375	CHEBI:75203, CHEBI:57287
RHEA:37683	1',3'-bis-[1-acyl-sn-glycero-3-phospho]-glycerol + dodecanoyl-CoA = 1'-[1-acyl-2-dodecanoyl-sn-glycero-3-phospho],3'-[1-acyl,2-hydroxy-sn-glycero-3-phospho]-glycerol + CoA	CHEBI:75137, CHEBI:57375	CHEBI:75201, CHEBI:57287
RHEA:37687	(9Z,12Z)-octadecadienoyl-CoA + 1',3'-bis-[1-acyl-sn-glycero-3-phospho]-glycerol = 1'-[1-acyl-2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phospho],3'-[1-acyl,2-hydroxy-sn-glycero-3-phospho]-glycerol + CoA	CHEBI:57383, CHEBI:75137	CHEBI:75209, CHEBI:57287
RHEA:37691	1',3'-bis-[1-acyl-sn-glycero-3-phospho]-glycerol + hexadecanoyl-CoA = 1'-[1-acyl-2-hexadecanoyl-sn-glycero-3-phospho],3'-[1-acyl,2-hydroxy-sn-glycero-3-phospho]-glycerol + CoA	CHEBI:75137, CHEBI:57379	CHEBI:75207, CHEBI:57287
RHEA:37695	1',3'-bis-[1-acyl-sn-glycero-3-phospho]-glycerol + octadecanoyl-CoA = 1'-[1-acyl-2-octadecanoyl-sn-glycero-3-phospho],3'-[1-acyl,2-hydroxy-sn-glycero-3-phospho]-glycerol + CoA	CHEBI:75137, CHEBI:57394	CHEBI:75208, CHEBI:57287
RHEA:37699	1-O-octadecyl-sn-glycero-3-phosphocholine + acetyl-CoA = 1-O-octadecyl-2-acetyl-sn-glycero-3-phosphocholine + CoA	CHEBI:75216, CHEBI:57288	CHEBI:52450, CHEBI:57287
RHEA:37703	1-hexadecanoyl-sn-glycero-3-phosphocholine + acetyl-CoA = 1-hexadecanoyl-2-acetyl-sn-glycero-3-phosphocholine + CoA	CHEBI:72998, CHEBI:57288	CHEBI:75219, CHEBI:57287
RHEA:37707	1-octadecanoyl-sn-glycero-3-phosphocholine + acetyl-CoA = 1-octadecanoyl-2-acetyl-sn-glycero-3-phosphocholine + CoA	CHEBI:73858, CHEBI:57288	CHEBI:75220, CHEBI:57287
RHEA:37711	1-O-(1Z-alkenyl)-sn-glycero-3-phosphocholine + acetyl-CoA = 1-O-(1Z)-alkenyl-2-acetyl-sn-glycero-3-phosphocholine + CoA	CHEBI:57288, CHEBI:77287	CHEBI:78566, CHEBI:57287
RHEA:37715	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-O-alkyl-sn-glycero-3-phosphocholine = 1-alkyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:30909, CHEBI:57368	CHEBI:57287, CHEBI:28894
RHEA:37719	1-O-hexadecyl-sn-glycero-3-phosphocholine + acetyl-CoA = 1-O-hexadecyl-2-acetyl-sn-glycero-3-phosphocholine + CoA	CHEBI:64496, CHEBI:57288	CHEBI:44811, CHEBI:57287
RHEA:37723	(9Z)-hexadecenoyl-CoA + a 1-acyl-sn-glycero-3-phosphocholine = 1-acyl-2-(9Z)-hexadecenoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:61540, CHEBI:58168	CHEBI:75240, CHEBI:57287
RHEA:37727	(9Z)-hexadecenoyl-CoA + a 1-acyl-sn-glycero-3-phosphoethanolamine = 1-acyl-2-(9Z)-hexadecenoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:61540, CHEBI:64381	CHEBI:75239, CHEBI:57287
RHEA:37731	(9Z)-octadecenoyl-CoA + a 1-acyl-sn-glycero-3-phosphoethanolamine = 1-acyl-2-(9Z)-octadecenoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:64381, CHEBI:57387	CHEBI:75238, CHEBI:57287
RHEA:37735	(9Z)-octadecenoyl-CoA + a 1-acyl-sn-glycero-3-phospho-L-serine = 1-acyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine + CoA	CHEBI:64379, CHEBI:57387	CHEBI:75242, CHEBI:57287
RHEA:37739	(9Z)-hexadecenoyl-CoA + a 1-acyl-sn-glycero-3-phospho-L-serine = 1-acyl-2-(9Z)-hexadecenoyl-sn-glycero-3-phosphoserine + CoA	CHEBI:61540, CHEBI:64379	CHEBI:75241, CHEBI:57287
RHEA:37743	dimethylallyl phosphate + FMNH2 = phosphate + prenyl-FMNH2	CHEBI:88052, CHEBI:57618	CHEBI:87467, CHEBI:43474
RHEA:37747	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-O-octadecyl-sn-glycero-3-phosphocholine = 1-O-octadecyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:75216, CHEBI:57368	CHEBI:75245, CHEBI:57287
RHEA:37751	2-methyl-trans-aconitate = 2-methyl-cis-aconitate	CHEBI:58915	CHEBI:57872
RHEA:37755	1-O-(1Z-alkenyl)-sn-glycero-3-phosphoethanolamine + hexadecanoyl-CoA = 1-O-(1Z)-alkenyl-2-hexadecanoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:57379, CHEBI:77288	CHEBI:77303, CHEBI:57287
RHEA:37759	1-O-(1Z-alkenyl)-sn-glycero-3-phosphoethanolamine + octadecanoyl-CoA = 1-O-(1Z)-alkenyl-2-octadecanoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:57394, CHEBI:77288	CHEBI:77302, CHEBI:57287
RHEA:37763	1-O-(1Z-alkenyl)-sn-glycero-3-phosphoethanolamine + octanoyl-CoA = 1-O-(1Z)-alkenyl-2-octanoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:57386, CHEBI:77288	CHEBI:77301, CHEBI:57287
RHEA:37767	a 1-acyl-sn-glycero-3-phosphoethanolamine + hexadecanoyl-CoA = 1-acyl-2-hexadecanoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:64381, CHEBI:57379	CHEBI:75265, CHEBI:57287
RHEA:37771	a 1-acyl-sn-glycero-3-phosphoethanolamine + octadecanoyl-CoA = 1-acyl-2-octadecanoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:64381, CHEBI:57394	CHEBI:75264, CHEBI:57287
RHEA:37775	a 1-acyl-sn-glycero-3-phosphoethanolamine + octanoyl-CoA = 1-acyl-2-octanoyl-sn-glycero-3-phosphoethanolamine + CoA	CHEBI:64381, CHEBI:57386	CHEBI:75263, CHEBI:57287
RHEA:37779	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-octadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol) = 1-octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol) + CoA	CHEBI:72827, CHEBI:57368	CHEBI:75266, CHEBI:57287
RHEA:37783	(9Z)-octadecenoyl-CoA + 1-O-hexadecyl-sn-glycero-3-phosphocholine = 1-O-hexadecyl-2-(9Z)-octadecenoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:64496, CHEBI:57387	CHEBI:75268, CHEBI:57287
RHEA:37787	(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + 1-O-hexadecyl-sn-glycero-3-phosphocholine = 1-O-hexadecyl-2-(5Z,8Z,11Z,14Z)-eicosatetraenoyl-sn-glycero-3-phosphocholine + CoA	CHEBI:64496, CHEBI:57368	CHEBI:55430, CHEBI:57287
RHEA:37791	aclacinomycin A + O2 = aclacinomycin Y + H2O2	CHEBI:77980, CHEBI:15379	CHEBI:77985, CHEBI:16240
RHEA:37795	2 H(+) + 2 NADPH + O2 = 2 H2O + 2 NADP(+)	CHEBI:15379, CHEBI:15378, CHEBI:57783	CHEBI:15377, CHEBI:58349
RHEA:37799	2 H(+) + 2 NADH + O2 = 2 H2O + 2 NAD(+)	CHEBI:15379, CHEBI:57945, CHEBI:15378	CHEBI:15377, CHEBI:57540
